Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6vxU64pcIuQ38O015Zy4qj,"Homecoming","Eternal Atake","Lil Uzi Vert",2020-03-06,213884,72,igotbookies,2022-02-24T18:31:56Z,"hip hop,melodic rap,philly rap,rage rap,rap,trap","Generation Now/Atlantic",0.929,0.563,9,-7.428,1,0.49,0.000592,0,0.244,0.353,129.957,4
1MJErNPIQUoEMu4YUUmecm,"Neon Guts (feat. Pharrell Williams)","Luv Is Rage 2","Lil Uzi Vert,Pharrell Williams",2017-08-25,258789,67,igotbookies,2022-02-24T18:36:57Z,"hip hop,melodic rap,philly rap,rage rap,rap,trap,dance pop,pop","Generation Now/Atlantic",0.859,0.563,1,-6.635,0,0.112,0.0541,0,0.0685,0.412,119.934,4
500l6Cwe40hkPqS7Sf7ufY,"Foreign","Die Lit","Playboi Carti",2018-05-11,142893,70,igotbookies,2023-02-09T05:51:15Z,"atl hip hop,plugg,pluggnb,rage rap,rap","AWGE Label",0.762,0.705,6,-5.195,0,0.164,0.0906,0,0.17,0.264,122.955,4
1BpKJw4RZxaFB88NE5uxXf,"ILoveUIHateU","Whole Lotta Red","Playboi Carti",2020-12-25,135122,77,igotbookies,2022-02-24T18:48:42Z,"atl hip hop,plugg,pluggnb,rage rap,rap","AWGE/Interscope Records",0.684,0.693,4,-6.651,0,0.0339,0.00534,0,0.506,0.108,134.988,4
0RyA3o15NOLJYtm9NlDu5c,"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)","Cozy Tapes Vol. 2: Too Cozy","A$AP Mob,A$AP Rocky,Playboi Carti,Big Sean",2017-08-25,218946,60,igotbookies,2023-02-22T04:48:44Z,"hip hop,rap,southern hip hop,trap,east coast hip hop,atl hip hop,plugg,pluggnb,rage rap,detroit hip hop,pop rap,r&b","A$AP Worldwide/Polo Grounds Music/RCA Records",0.635,0.777,1,-6.018,1,0.231,0.181,0,0.357,0.177,128.09,4
1s9DTymg5UQrdorZf43JQm,"Fell In Luv (feat. Bryson Tiller)","Die Lit","Playboi Carti,Bryson Tiller",2018-05-11,206333,73,igotbookies,2022-02-24T18:48:45Z,"atl hip hop,plugg,pluggnb,rage rap,rap,kentucky hip hop,r&b","AWGE Label",0.657,0.668,2,-6.208,1,0.136,0.0273,0,0.32,0.227,162.997,4
5FkoSXiJPKTNyYgALRJFhD,"ORANGE SODA","DIE FOR MY BITCH","Baby Keem",2019-07-19,129882,76,igotbookies,2023-02-09T05:57:00Z,"hip hop,rap","Baby Keem LLC",0.83,0.564,1,-7.822,1,0.235,0.177,0,0.128,0.107,85.042,4
1e1JKLEDKP7hEQzJfNAgPl,"Magnolia","Playboi Carti","Playboi Carti",2017-04-14,181812,76,igotbookies,2023-02-09T05:57:05Z,"atl hip hop,plugg,pluggnb,rage rap,rap","AWGE Label",0.791,0.582,11,-7.323,0,0.286,0.0114,0,0.35,0.443,162.991,4
3L0IKstjUgDFVQAbQIRZRv,"R.I.P.","Die Lit","Playboi Carti",2018-05-11,192026,73,igotbookies,2022-02-24T18:51:06Z,"atl hip hop,plugg,pluggnb,rage rap,rap","AWGE Label",0.725,0.725,8,-6.067,0,0.159,0.0119,0,0.086,0.515,140.003,4
15hJmqqEtASVXl6sM7i4UF,"trademark usa","The Melodic Blue","Baby Keem",2021-09-10,270670,65,igotbookies,2022-02-24T19:30:12Z,"hip hop,rap","Columbia",0.615,0.6,10,-5.62,1,0.27,0.107,0.00000161,0.283,0.0661,130.027,4
