Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2HRqTpkrJO5ggZyyK6NPWz,"Espresso","Short n' Sweet","Sabrina Carpenter",2024-08-23,175459,88,,2024-12-04T12:15:00Z,"pop","Island Records",0.699,0.776,0,-5.282,1,0.0293,0.131,0.00000536,0.205,0.708,103.963,4
3xkHsmpQCBMytMJNiDf3Ii,"Beautiful Things","Fireworks & Rollerblades","Benson Boone",2024-04-05,180304,88,,2024-12-04T12:15:00Z,"singer-songwriter pop","Night Street Records, Inc./Warner Records Inc.",0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
6dOtVTDdiauQNBQEDOtlAB,"BIRDS OF A FEATHER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,210373,96,,2024-12-04T12:15:00Z,"art pop,pop","Darkroom/Interscope Records",0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
2esZG2XFtuoWWA9AfDvSxy,"Gata Only","EL COMIENZO","FloyyMenor,Cris Mj",2024-08-09,222000,77,,2024-12-04T12:15:00Z,"reggaeton chileno,mambo chileno,trap latino,urbano chileno,urbano latino","FloyyMenor under exclusive license to UnitedMasters LLC",0.794,0.5,8,-8.454,0,0.049,0.438,0.00003,0.0905,0.659,99.985,4
17phhZDn6oGtzMe56NuWvj,"Lose Control","I've Tried Everything But Therapy (Part 1)","Teddy Swims",2023-09-15,210688,88,,2024-12-04T12:15:00Z,"","Warner Records",0.561,0.604,9,-4.409,1,0.0337,0.199,0.000019,0.104,0.242,159.92,3
3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,89,,2024-12-04T12:15:00Z,"pov: indie,psychedelic pop","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
76JKIsdKrAfWUMjaA0u7v5,"Too Sweet","Unreal Unearth: Unaired","Hozier",2024-08-19,251424,78,,2024-12-04T12:15:00Z,"irish singer-songwriter,modern rock,pop,pov: indie","Columbia",0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Idol Episode 4 (Music from the HBO Original Series)","The Weeknd,JENNIE,Lily-Rose Depp",2023-06-23,244684,89,,2024-12-04T12:15:00Z,"canadian contemporary r&b,canadian pop,pop,k-pop","XO / Republic Records",0.264,0.64,8,-6.221,1,0.0442,0.0393,0.00000231,0.151,0.19,84.828,4
1BxfuPKGuaTgP7aM0Bbdwr,"Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,88,,2023-11-29T12:16:00Z,"pop","Taylor Swift",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
2plbrEY59IikOBgBGLjaoe,"Die With A Smile","Die With A Smile","Lady Gaga,Bruno Mars",2024-08-16,251667,99,,2024-12-04T12:15:00Z,"art pop,dance pop,pop","Interscope",0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
