Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0XjEpVmNN4yX2BSPVMV2GN,"None Of Your Concern (feat. Big Sean)","Chilombo (Deluxe)","Jhené Aiko,Big Sean",2020-07-17,259385,38,,2024-12-27T03:56:39Z,"r&b,detroit hip hop,hip hop,pop rap,rap,southern hip hop,trap","Def Jam Recordings",0.489,0.517,9,-9.334,0,0.186,0.86,0,0.109,0.377,83.384,4
6t8o7ixMZP1JXa0YkXRuio,"B.S. (feat. H.E.R.)","Chilombo (Deluxe)","Jhené Aiko,H.E.R.",2020-07-17,212866,39,,2024-12-27T03:56:06Z,"r&b,rap","Def Jam Recordings",0.617,0.525,8,-10.426,0,0.121,0.556,0.0000012,0.135,0.375,135.857,4
1zgHn1EqUyA0HqNYMdJ5ia,"Best Time","Larger Than Life","Brent Faiyaz",2023-10-27,82508,80,,2024-12-24T19:50:03Z,"r&b,rap","ISO Supremacy under exclusive license to UnitedMasters LLC",0.81,0.307,9,-7.215,1,0.12,0.16,0.00298,0.0779,0.697,92.995,4
5lFDtgWsjRJu8fPOAyJIAK,"Back To Back","Back To Back","Drake",2015-07-31,170637,64,,2024-12-22T23:13:53Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","Cash Money Records/Young Money Ent./Universal Rec.",0.893,0.48,1,-3.728,0,0.356,0.00855,0,0.116,0.382,86.976,4
6afQ4fJDJ9QqU5BKIH99Ej,"Insecurities","Insecurities","Lil Baby",2024-11-15,127154,76,,2024-12-22T17:52:40Z,"atl hip hop,atl trap,rap,trap","Quality Control Music/Motown Records",0.65,0.642,2,-5.332,1,0.04,0.00502,0,0.0855,0.186,111.907,4
2qYbtIf8dRkBkKIcZVGFDq,"Drive","SOS Deluxe: LANA","SZA",2024-12-20,185132,75,,2024-12-21T03:23:23Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.66,0.32,11,-12.591,1,0.0467,0.955,0.0000281,0.0971,0.526,136.002,4
7eCVm5KcpFrDhx6XHkF3t6,"Love Me 4 Me","SOS Deluxe: LANA","SZA",2024-12-20,185749,74,,2024-12-21T02:54:27Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.61,0.576,11,-10.319,0,0.0319,0.339,0.00128,0.181,0.592,147.957,4
3U3hFkMr0Q90pD24EkE3Pr,"BMF","SOS Deluxe: LANA","SZA",2024-12-20,180746,77,,2024-12-21T02:49:23Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.792,0.55,10,-8.528,0,0.0307,0.506,0.0166,0.087,0.972,128.023,4
6jTQijAuYxOd8DjQ8D6UkL,"What Do I Do","SOS Deluxe: LANA","SZA",2024-12-20,167448,76,,2024-12-21T02:04:49Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.68,0.543,8,-8.308,1,0.0505,0.536,0.000929,0.164,0.66,146.037,4
3obGrchYRmtO5rk4O2ZtLZ,"No More Hiding","SOS Deluxe: LANA","SZA",2024-12-20,162662,76,,2024-12-21T01:49:20Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.516,0.292,2,-12.991,0,0.0439,0.982,0.811,0.118,0.643,161.951,3
4PhsKqMdgMEUSstTDAmMpg,"Often","Beauty Behind The Madness","The Weeknd",2015-08-28,249040,78,,2024-12-18T05:19:50Z,"canadian contemporary r&b,canadian pop,pop","Universal Republic Records",0.572,0.631,7,-9.836,0,0.0476,0.222,0,0.135,0.0713,134.078,4
41P6Tnd8KIHqON0QIydx6a,"the perfect pair","Beatopia","beabadoobee",2022-07-15,177533,82,,2024-12-13T21:23:31Z,"bedroom pop,bubblegrunge,indie pop,pov: indie","Dirty Hit",0.634,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,4
5wWzslCFGlDuhJ4oKgS8bc,"Desires (with Future)","Dark Lane Demo Tapes","Drake,Future",2020-05-01,237945,37,,2024-12-13T09:46:37Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,atl hip hop,southern hip hop,trap","OVO",0.814,0.501,5,-7.722,0,0.111,0.282,0,0.325,0.526,145.034,4
